"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Markdown", "GLSL", "YAML", "PostCSS", "XML", "JavaScript", "HTML", "comment", "blank", "total"
"d:\projects\Rapid.js\docs\demos\screen-coordinates.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 9, 11, 56
"d:\projects\Rapid.js\docs\demos\sprite-sheet.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 8, 8, 46
"d:\projects\Rapid.js\docs\demos\sprite.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 5, 21
"d:\projects\Rapid.js\docs\demos\stress-test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 9, 13, 79
"d:\projects\Rapid.js\docs\demos\text.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 3, 6, 35
"d:\projects\Rapid.js\docs\demos\transformations.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 13, 10, 63
"d:\projects\Rapid.js\docs\demos\update-matrix.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 14, 10, 53
"d:\projects\Rapid.js\docs\docs.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 4, 57
"d:\projects\Rapid.js\docs\docs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 5, 33, 247
"d:\projects\Rapid.js\docs\highlight.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\projects\Rapid.js\docs\home.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 2, 14, 79
"d:\projects\Rapid.js\docs\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 7, 150
"d:\projects\Rapid.js\docs\markdown\advanced.md", "Markdown", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 26, 79
"d:\projects\Rapid.js\docs\markdown\architecture.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\projects\Rapid.js\docs\markdown\custom-geometry.md", "Markdown", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 31, 145
"d:\projects\Rapid.js\docs\markdown\guide.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 11, 25
"d:\projects\Rapid.js\docs\markdown\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 34
"d:\projects\Rapid.js\docs\markdown\install.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 19, 49
"d:\projects\Rapid.js\docs\markdown\line.md", "Markdown", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 20, 79
"d:\projects\Rapid.js\docs\markdown\masks.md", "Markdown", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 21, 78
"d:\projects\Rapid.js\docs\markdown\particles.md", "Markdown", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 38, 142
"d:\projects\Rapid.js\docs\markdown\quick-start.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 20, 67
"d:\projects\Rapid.js\docs\markdown\render-textures.md", "Markdown", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 20, 62
"d:\projects\Rapid.js\docs\markdown\screen-position.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 10, 37
"d:\projects\Rapid.js\docs\markdown\shaders.md", "Markdown", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 55, 210
"d:\projects\Rapid.js\docs\markdown\sprite.md", "Markdown", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 29, 97
"d:\projects\Rapid.js\docs\markdown\text.md", "Markdown", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 20, 76
"d:\projects\Rapid.js\docs\markdown\textures.md", "Markdown", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 59, 186
"d:\projects\Rapid.js\docs\markdown\transformations.md", "Markdown", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 66, 218
"d:\projects\Rapid.js\docs\markdown_cn\advanced.md", "Markdown", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 25, 78
"d:\projects\Rapid.js\docs\markdown_cn\architecture.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projects\Rapid.js\docs\markdown_cn\custom-geometry.md", "Markdown", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 29, 143
"d:\projects\Rapid.js\docs\markdown_cn\guide.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 24
"d:\projects\Rapid.js\docs\markdown_cn\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 34
"d:\projects\Rapid.js\docs\markdown_cn\install.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 19, 49
"d:\projects\Rapid.js\docs\markdown_cn\line.md", "Markdown", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 19, 78
"d:\projects\Rapid.js\docs\markdown_cn\masks.md", "Markdown", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 21, 78
"d:\projects\Rapid.js\docs\markdown_cn\particles.md", "Markdown", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 37, 141
"d:\projects\Rapid.js\docs\markdown_cn\quick-start.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 19, 66
"d:\projects\Rapid.js\docs\markdown_cn\render-textures.md", "Markdown", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 19, 61
"d:\projects\Rapid.js\docs\markdown_cn\screen-position.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 9, 36
"d:\projects\Rapid.js\docs\markdown_cn\shaders.md", "Markdown", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 55, 210
"d:\projects\Rapid.js\docs\markdown_cn\sprite.md", "Markdown", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 29, 97
"d:\projects\Rapid.js\docs\markdown_cn\text.md", "Markdown", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 19, 75
"d:\projects\Rapid.js\docs\markdown_cn\textures.md", "Markdown", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 59, 186
"d:\projects\Rapid.js\docs\markdown_cn\transformations.md", "Markdown", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 67, 219
